,week,percent
27,27,125
28,28,91
29,29,250
30,30,140
31,31,450
32,32,150
33,33,125
34,34,152
35,35,160
36,36,199
37,37,229
38,38,206
39,39,186
40,40,193
41,41,188
42,42,214
43,43,209
44,44,52
45,45,102
46,46,375
47,47,500
